日期,处理水量(m³),电耗(kWh),PAC投加量(kg),PAM投加量(kg),次氯酸钠投加量(kg),进水COD(mg/L),出水COD(mg/L),进水TN(mg/L),出水TN(mg/L)
2020-04-20,12072.0,3716.0,216.0,41.0,131.0,245.5,3.6,32.9,1.9
2020-04-21,12019.0,3635.0,182.0,57.0,131.0,247.3,12.4,36.0,4.0
2020-04-22,12298.0,3544.0,182.0,41.0,133.0,241.4,8.9,33.5,2.8
2020-04-23,11901.0,3202.0,182.0,40.0,129.0,238.6,8.0,35.6,1.7
2020-04-24,12176.0,3229.0,167.0,51.0,131.0,244.2,16.6,34.8,0.5
2020-04-25,12435.0,3707.0,167.0,65.0,133.0,237.3,0.4,35.4,0.4
2020-04-26,11950.0,3064.0,167.0,50.0,128.0,241.8,0.8,29.1,-2.4
2020-04-27,11865.0,3669.0,157.0,60.0,127.0,238.3,16.6,36.5,0.1
2020-04-28,11798.0,3075.0,204.0,66.0,126.0,249.5,5.8,34.3,2.7
2020-04-29,11647.0,3538.0,172.0,70.0,124.0,254.5,11.7,33.2,-0.8
2020-04-30,12107.0,3289.0,189.0,67.0,128.0,242.2,14.1,35.4,2.3
2020-05-01,11936.0,3183.0,190.0,40.0,126.0,240.8,2.3,31.0,0.3
2020-05-02,11419.0,3057.0,224.0,59.0,120.0,237.8,-1.8,34.6,-0.3
2020-05-03,11611.0,3252.0,169.0,47.0,122.0,254.9,13.1,35.9,-0.2
2020-05-04,11855.0,3113.0,202.0,63.0,124.0,238.3,-2.8,34.6,-0.2
2020-05-05,11415.0,3044.0,195.0,64.0,119.0,251.7,2.0,32.9,-0.9
2020-05-06,11530.0,3311.0,163.0,60.0,120.0,249.3,11.3,26.2,0.2
2020-05-07,12058.0,3438.0,167.0,68.0,125.0,250.3,3.3,31.6,-0.1
2020-05-08,11904.0,3003.0,203.0,47.0,123.0,254.0,6.9,28.9,1.2
2020-05-09,11473.0,3253.0,196.0,50.0,118.0,243.7,-0.9,35.0,-1.4
2020-05-10,11514.0,2893.0,215.0,60.0,118.0,228.4,17.6,30.7,-1.0
2020-05-11,11661.0,3164.0,240.0,51.0,119.0,225.5,1.0,34.5,-0.2
2020-05-12,11632.0,2817.0,209.0,62.0,118.0,241.1,-5.2,25.6,2.1
2020-05-13,12002.0,3517.0,206.0,65.0,122.0,262.9,8.9,31.4,2.4
2020-05-14,12142.0,3058.0,177.0,75.0,123.0,237.3,-1.1,28.6,1.8
2020-05-15,11320.0,2701.0,132.0,63.0,114.0,238.7,0.8,26.3,-1.4
2020-05-16,11350.0,2769.0,160.0,45.0,114.0,232.3,5.9,26.6,2.5
2020-05-17,11251.0,2745.0,174.0,71.0,112.0,231.3,2.6,25.8,0.6
2020-05-18,10938.0,2940.0,199.0,59.0,109.0,225.2,9.4,31.6,-2.9
2020-05-19,11139.0,3140.0,197.0,59.0,111.0,226.6,5.0,29.8,0.3
2020-05-20,11536.0,2997.0,179.0,47.0,114.0,246.5,5.0,30.1,-0.8
2020-05-21,11473.0,2890.0,193.0,51.0,113.0,224.2,1.8,33.0,-1.7
2020-05-22,11618.0,2998.0,183.0,52.0,114.0,246.3,-2.3,30.8,1.3
2020-05-23,11568.0,3137.0,184.0,50.0,113.0,235.8,-3.8,31.2,-0.6
2020-05-24,11324.0,3186.0,210.0,56.0,110.0,247.2,7.9,29.6,-1.2
2020-05-25,11592.0,3141.0,163.0,39.0,113.0,250.8,-3.8,28.2,-0.1
2020-05-26,11638.0,3025.0,162.0,55.0,113.0,251.9,-0.7,29.1,-3.7
2020-05-27,11476.0,2647.0,215.0,60.0,111.0,221.0,0.5,26.2,0.1
2020-05-28,11287.0,2998.0,164.0,52.0,109.0,241.5,0.8,31.0,-2.1
2020-05-29,11037.0,2663.0,223.0,44.0,106.0,229.6,-4.3,30.6,-2.1
2020-05-30,10869.0,3118.0,211.0,65.0,104.0,229.6,-4.9,24.0,0.4
2020-05-31,11204.0,2832.0,220.0,67.0,107.0,239.2,-6.9,25.6,-0.8
2020-06-01,11009.0,2909.0,195.0,48.0,104.0,238.7,-1.5,27.6,-1.1
2020-06-02,10619.0,3008.0,202.0,49.0,100.0,213.5,-1.2,26.1,1.5
2020-06-03,11040.0,2719.0,198.0,23.0,104.0,227.7,-8.8,28.9,-3.7
2020-06-04,10240.0,2630.0,169.0,50.0,96.0,248.9,6.2,25.5,-1.5
2020-06-05,10887.0,2477.0,212.0,70.0,102.0,216.4,1.4,23.9,-0.9
2020-06-06,10539.0,2436.0,134.0,66.0,98.0,235.4,-1.0,27.5,-1.4
2020-06-07,10915.0,2451.0,164.0,63.0,101.0,206.1,-5.8,30.0,-0.9
2020-06-08,11783.0,2648.0,219.0,49.0,109.0,220.0,-2.4,23.7,-1.9
2020-06-09,10613.0,2712.0,179.0,51.0,98.0,221.9,-5.2,31.3,-1.8
2020-06-10,10613.0,2584.0,178.0,59.0,98.0,226.0,4.1,28.9,-1.5
2020-06-11,10871.0,3210.0,174.0,71.0,100.0,231.4,-11.1,27.7,-2.0
2020-06-12,11027.0,2662.0,196.0,58.0,101.0,228.2,-6.0,28.2,-2.4
2020-06-13,10300.0,2936.0,178.0,61.0,94.0,216.4,6.6,24.6,-1.4
2020-06-14,10636.0,2644.0,222.0,69.0,96.0,227.1,-0.4,26.1,-2.6
2020-06-15,10612.0,2818.0,212.0,63.0,96.0,234.3,-0.4,28.8,-3.5
2020-06-16,10220.0,2890.0,184.0,54.0,92.0,216.4,-3.1,33.1,-4.2
2020-06-17,10112.0,2415.0,172.0,42.0,91.0,218.3,-5.5,23.3,-1.3
2020-06-18,10172.0,2679.0,213.0,54.0,91.0,241.7,-8.3,25.4,-3.6
2020-06-19,10655.0,2950.0,200.0,63.0,95.0,215.8,-2.5,28.2,-1.4
2020-06-20,10509.0,2132.0,203.0,33.0,93.0,211.8,-8.0,27.8,-2.4
2020-06-21,10498.0,2630.0,229.0,62.0,93.0,216.7,-0.5,26.2,-3.6
2020-06-22,11001.0,2485.0,246.0,50.0,97.0,217.7,-7.5,29.0,-4.1
2020-06-23,10133.0,2258.0,188.0,54.0,89.0,209.8,0.7,26.4,-2.6
2020-06-24,10175.0,2978.0,180.0,61.0,89.0,227.3,-0.7,24.4,-2.3
2020-06-25,9991.0,2490.0,180.0,55.0,87.0,217.2,-3.4,29.7,-4.5
2020-06-26,10321.0,2622.0,203.0,62.0,90.0,220.5,-7.9,24.5,-1.4
2020-06-27,9862.0,2408.0,149.0,31.0,86.0,239.5,-7.8,30.6,-3.9
2020-06-28,9809.0,2338.0,179.0,51.0,85.0,233.6,-3.4,23.2,-0.9
2020-06-29,9917.0,2331.0,174.0,40.0,86.0,231.7,-0.6,30.5,-3.5
2020-06-30,10252.0,2693.0,201.0,53.0,88.0,230.1,1.7,27.6,-0.6
2020-07-01,10416.0,2676.0,219.0,82.0,90.0,225.8,-3.8,26.8,-2.5
2020-07-02,10098.0,2514.0,168.0,58.0,87.0,217.0,-12.7,26.4,-2.0
2020-07-03,10301.0,2717.0,199.0,77.0,88.0,218.5,-7.5,25.4,-2.3
2020-07-04,9529.0,2180.0,172.0,50.0,81.0,226.6,-12.7,25.3,-1.2
2020-07-05,9875.0,2452.0,201.0,48.0,84.0,210.9,-11.0,27.8,-3.5
2020-07-06,9702.0,2671.0,211.0,57.0,82.0,214.6,-10.5,24.5,-3.2
2020-07-07,9979.0,2495.0,238.0,63.0,84.0,213.3,-16.1,20.6,-1.1
2020-07-08,9374.0,2493.0,210.0,68.0,79.0,232.9,-13.6,27.3,-6.3
2020-07-09,9667.0,2230.0,169.0,49.0,81.0,192.4,-15.3,29.9,-3.6
2020-07-10,9532.0,2427.0,211.0,57.0,80.0,206.9,-1.9,28.4,-5.8
2020-07-11,9708.0,2450.0,185.0,53.0,81.0,220.5,-8.4,33.3,-2.6
2020-07-12,9358.0,2188.0,191.0,31.0,78.0,199.9,-9.8,24.8,-2.7
2020-07-13,9948.0,2581.0,191.0,45.0,83.0,218.3,-9.8,22.5,-2.7
2020-07-14,9528.0,2484.0,188.0,35.0,79.0,200.5,3.0,33.9,-5.2
2020-07-15,9533.0,2467.0,197.0,53.0,79.0,236.2,-19.5,21.8,-4.4
2020-07-16,9817.0,2341.0,224.0,52.0,81.0,219.1,-12.6,24.4,-3.5
2020-07-17,9442.0,2320.0,174.0,51.0,78.0,213.3,-5.9,27.7,-4.7
2020-07-18,9426.0,2198.0,205.0,30.0,78.0,229.5,-21.5,25.6,-3.4
2020-07-19,9524.0,2401.0,200.0,59.0,78.0,210.8,-9.8,28.1,-5.6
2020-07-20,9320.0,2070.0,185.0,40.0,77.0,219.8,-16.0,22.2,-4.0
2020-07-21,9288.0,2526.0,192.0,57.0,76.0,197.5,-2.5,26.9,-6.6
2020-07-22,9718.0,2666.0,214.0,51.0,80.0,220.8,-5.3,27.4,-6.3
2020-07-23,9630.0,2469.0,272.0,60.0,79.0,219.7,-16.5,22.3,-5.2
2020-07-24,9562.0,2088.0,220.0,48.0,78.0,214.3,-12.1,27.5,-7.6
2020-07-25,9271.0,2680.0,180.0,58.0,76.0,211.7,-14.4,28.6,-3.7
2020-07-26,8975.0,2225.0,200.0,30.0,73.0,219.5,-15.7,27.0,-4.9
2020-07-27,9218.0,2461.0,176.0,44.0,75.0,212.1,-8.6,27.8,-4.3
2020-07-28,9246.0,2711.0,192.0,39.0,75.0,212.2,-10.3,27.1,-6.0
2020-07-29,9169.0,2513.0,233.0,51.0,74.0,198.6,-4.3,25.4,-7.4
2020-07-30,8982.0,2634.0,223.0,48.0,73.0,210.6,-6.0,21.8,-3.9
2020-07-31,9181.0,2498.0,222.0,43.0,74.0,205.6,-4.4,28.8,-5.9
2020-08-01,9140.0,2454.0,208.0,49.0,74.0,205.1,-14.3,27.5,-4.0
2020-08-02,8829.0,2204.0,194.0,52.0,71.0,226.8,-12.0,29.5,-6.1
2020-08-03,8879.0,2103.0,199.0,53.0,71.0,211.5,-24.0,31.2,-2.9
2020-08-04,8487.0,2134.0,205.0,39.0,68.0,222.9,-11.9,26.9,-5.3
2020-08-05,9111.0,2670.0,203.0,51.0,73.0,211.6,-10.1,22.2,-7.0
2020-08-06,8378.0,2096.0,211.0,57.0,67.0,198.4,-18.2,24.0,-7.2
2020-08-07,9299.0,2596.0,246.0,46.0,75.0,221.8,-13.0,22.3,-7.8
2020-08-08,8818.0,2145.0,179.0,52.0,71.0,205.1,-3.2,29.3,-4.8
2020-08-09,9310.0,2480.0,199.0,40.0,75.0,210.9,-14.2,25.4,-5.6
2020-08-10,9084.0,2200.0,219.0,42.0,73.0,203.6,-14.7,27.0,-4.4
2020-08-11,8858.0,2303.0,225.0,32.0,71.0,204.5,-11.3,26.7,-2.8
2020-08-12,9197.0,2191.0,199.0,39.0,74.0,213.8,-8.9,28.5,-3.6
2020-08-13,8605.0,2218.0,196.0,44.0,69.0,195.9,-6.9,24.4,-5.2
2020-08-14,8980.0,2243.0,212.0,54.0,72.0,199.4,-7.6,28.4,-4.8
2020-08-15,8975.0,2585.0,197.0,58.0,72.0,214.5,-19.2,28.1,-3.8
2020-08-16,8597.0,2127.0,190.0,48.0,69.0,213.6,-15.0,25.6,-5.3
2020-08-17,7773.0,2150.0,197.0,45.0,62.0,216.6,-20.7,27.4,-5.4
2020-08-18,8343.0,2283.0,205.0,46.0,67.0,207.7,-26.5,28.0,-6.3
2020-08-19,8749.0,2411.0,209.0,57.0,70.0,212.0,-14.3,22.2,-6.0
2020-08-20,8546.0,2360.0,167.0,54.0,68.0,213.4,-19.4,24.5,-6.8
2020-08-21,8332.0,2271.0,194.0,24.0,67.0,209.2,-9.1,26.5,-5.9
2020-08-22,8310.0,2186.0,174.0,40.0,67.0,210.7,-13.6,25.7,-6.1
2020-08-23,8759.0,2288.0,209.0,44.0,70.0,213.2,-17.9,28.0,-4.5
2020-08-24,8567.0,2346.0,227.0,43.0,69.0,212.8,-31.2,29.7,-5.0
2020-08-25,8558.0,2139.0,214.0,37.0,69.0,224.2,-24.9,21.0,-5.5
2020-08-26,8442.0,2633.0,201.0,42.0,68.0,207.9,-18.7,29.0,-8.3
2020-08-27,8314.0,2131.0,193.0,38.0,67.0,197.3,-30.0,31.2,-5.1
2020-08-28,8557.0,2673.0,181.0,41.0,69.0,228.5,-26.0,31.7,-8.4
2020-08-29,8577.0,2241.0,180.0,49.0,69.0,217.6,-8.5,30.2,-5.5
2020-08-30,8170.0,2136.0,187.0,34.0,66.0,204.8,-21.1,34.7,-9.7
2020-08-31,8510.0,2258.0,209.0,42.0,69.0,224.0,-18.1,32.7,-10.2
2020-09-01,8587.0,2312.0,221.0,50.0,69.0,198.2,-19.1,27.5,-7.0
2020-09-02,8691.0,2140.0,235.0,47.0,70.0,187.6,-11.4,21.2,-7.6
2020-09-03,8516.0,2327.0,205.0,45.0,69.0,210.1,-29.1,21.0,-2.3
2020-09-04,7986.0,2266.0,189.0,39.0,65.0,221.9,-9.9,30.7,-5.1
2020-09-05,8697.0,2564.0,222.0,52.0,71.0,212.5,-16.0,29.5,-8.8
2020-09-06,7967.0,2060.0,196.0,40.0,65.0,215.6,-21.1,30.3,-6.5
2020-09-07,7940.0,2206.0,187.0,34.0,65.0,226.7,-22.3,29.5,-6.6
2020-09-08,8252.0,2107.0,185.0,47.0,67.0,200.9,-26.4,27.7,-8.2
2020-09-09,8206.0,2255.0,205.0,54.0,67.0,208.0,-26.0,27.3,-8.5
2020-09-10,8668.0,2627.0,213.0,37.0,71.0,198.3,-27.9,26.5,-8.1
2020-09-11,8463.0,2879.0,200.0,43.0,69.0,228.9,-21.7,30.5,-7.7
2020-09-12,8245.0,2355.0,219.0,34.0,68.0,222.9,-22.7,31.2,-10.6
2020-09-13,7732.0,2226.0,190.0,58.0,64.0,234.5,-29.8,31.0,-8.3
2020-09-14,8444.0,2477.0,241.0,43.0,70.0,212.5,-12.9,31.3,-8.9
2020-09-15,7670.0,2035.0,174.0,36.0,63.0,211.0,-23.3,23.9,-5.2
2020-09-16,8125.0,2295.0,227.0,42.0,67.0,207.1,-28.4,28.8,-9.2
2020-09-17,8331.0,2383.0,226.0,23.0,69.0,226.8,-30.7,30.4,-7.0
2020-09-18,8075.0,2344.0,176.0,43.0,67.0,215.6,-20.6,30.6,-5.3
2020-09-19,7994.0,2212.0,218.0,23.0,67.0,205.0,-19.3,33.9,-7.1
2020-09-20,8507.0,2456.0,212.0,31.0,71.0,204.6,-22.6,29.7,-7.5
2020-09-21,8112.0,2362.0,217.0,37.0,68.0,230.7,-20.8,31.1,-6.7
2020-09-22,8396.0,2642.0,152.0,40.0,70.0,223.7,-22.6,29.4,-8.4
2020-09-23,8358.0,2361.0,196.0,54.0,70.0,212.9,-20.1,33.0,-9.1
2020-09-24,8073.0,2230.0,197.0,44.0,68.0,217.7,-17.0,26.4,-8.3
2020-09-25,7802.0,2281.0,216.0,35.0,66.0,217.2,-34.2,28.7,-6.7
2020-09-26,7908.0,2331.0,213.0,43.0,67.0,215.1,-29.8,30.4,-9.9
2020-09-27,8092.0,2277.0,214.0,49.0,69.0,239.6,-24.4,33.8,-7.0
2020-09-28,7883.0,2255.0,177.0,36.0,67.0,228.0,-22.7,27.9,-9.0
2020-09-29,8004.0,2381.0,169.0,46.0,68.0,218.8,-23.6,29.3,-8.2
2020-09-30,8678.0,2570.0,225.0,47.0,74.0,232.0,-27.6,28.6,-8.3
2020-10-01,8429.0,2592.0,235.0,28.0,72.0,221.8,-25.7,31.7,-7.2
2020-10-02,7967.0,2404.0,195.0,37.0,69.0,240.8,-27.4,31.2,-8.2
2020-10-03,8366.0,2351.0,182.0,45.0,72.0,212.5,-21.5,35.0,-7.3
2020-10-04,7692.0,2158.0,178.0,39.0,67.0,220.8,-29.3,27.5,-8.5
2020-10-05,7831.0,2452.0,203.0,44.0,68.0,221.5,-36.4,35.9,-11.7
2020-10-06,7664.0,2405.0,207.0,43.0,67.0,225.8,-35.6,30.8,-11.3
2020-10-07,8182.0,2366.0,208.0,47.0,72.0,219.0,-30.7,34.6,-8.0
2020-10-08,7854.0,2266.0,198.0,39.0,69.0,222.2,-30.1,37.9,-12.6
2020-10-09,7984.0,2515.0,199.0,40.0,70.0,226.0,-25.3,34.6,-10.3
2020-10-10,8084.0,2383.0,194.0,37.0,71.0,238.2,-20.7,32.3,-10.2
2020-10-11,7792.0,2501.0,176.0,40.0,69.0,218.2,-22.4,35.9,-13.3
2020-10-12,7984.0,2177.0,185.0,39.0,71.0,234.5,-20.4,36.8,-12.4
2020-10-13,7787.0,2606.0,178.0,25.0,69.0,229.3,-26.4,34.2,-11.3
2020-10-14,8765.0,2706.0,223.0,36.0,78.0,207.9,-25.0,28.5,-12.1
2020-10-15,8292.0,2436.0,200.0,53.0,74.0,221.7,-40.5,38.1,-11.7
2020-10-16,7632.0,2642.0,190.0,25.0,69.0,236.0,-34.2,40.0,-14.9
2020-10-17,8260.0,2490.0,207.0,51.0,75.0,223.8,-33.4,38.2,-12.0
2020-10-18,8357.0,2579.0,210.0,48.0,76.0,218.5,-26.2,33.0,-12.0
2020-10-19,8234.0,3069.0,207.0,52.0,75.0,219.4,-31.8,34.6,-11.7
2020-10-20,8242.0,2668.0,207.0,53.0,75.0,231.7,-33.3,36.6,-10.0
2020-10-21,8516.0,2741.0,225.0,28.0,78.0,230.1,-31.6,37.1,-11.4
2020-10-22,8341.0,2623.0,237.0,37.0,77.0,222.8,-40.4,39.8,-17.9
2020-10-23,8416.0,2727.0,204.0,42.0,78.0,237.3,-33.5,28.0,-12.3
2020-10-24,8623.0,3061.0,181.0,48.0,80.0,235.5,-31.4,35.4,-12.2
2020-10-25,8134.0,2806.0,198.0,42.0,75.0,242.6,-36.8,35.5,-10.6
